Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What do you think were the main strengths and weaknesses of this module?,How much of this module's learning material was relevant to you?,"To what extent do you agree with the following statement: ""I feel more equipped to lead in my context as a result of my learning through this module.""",Did you complete this module as part of an action learning group?,Are you interested in the possibility of doing another LEAD module after this one?,Has your learning from this module changed your approach to leadership?,You said that this module has changed the way that you approach leadership. In what ways has your approach to leadership changed?,"To what extent do you agree with this statement? ""I was given the support and information I needed to complete the learning activities to the best of my ability.""",,"To what extent do you agree with this statement? ""The feedback I received for my learning activity submissions was helpful""",
,,,,,,,,,Open-Ended Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Is there anything else you would like to say about this?,Response,Is there anything else you would like to say about this?
13590342375,414754221,11/18/2022 10:22:01 AM,11/18/2022 10:29:25 AM,,,,,,"Not sure to be honest  - took a little while to get into the flow of what we were doing. I was surprised how little the preparation materials were actually referred to, although they were clearly an underlying part of what we were doing..  ",Most of it,Strongly agree,Yes,Yes,"Yes, somewhat",This has come at the right time for me as I am beginning to work with and form new teams in a new context. Has just helped me open my eyes a little more to what I am doing and reflect more how they can be more effective. Increasingly recognising the importance of conflict and strategies around it.,,,,
13588499359,414754221,11/15/2022 02:59:47 PM,11/15/2022 03:13:39 PM,,,,,,Strength  Variety of resources Opportunity to discuss with others   Weakness Some Resources dependent on previous training Some resources seemed a bit unrelated to the topic  I found action learning group initially difficult but was beginning to get the hang of it by the end of 4 modules. I don't know how an action learning group could be defined in a better way but I wonder if a practical video would help ,Some of it,Agree,Yes,Yes,Not really,,Agree,Defining the activities was helpful but in my case not necessarily focused on my leadership in context ,,Not sure we did this 
13586440342,414754230,11/11/2022 09:38:59 AM,11/11/2022 10:05:14 AM,,,,,,"Hearing from others who also are experiencing similar Leadership challenges, in how to bridge or bring about change that is workable for self and others in moving your ministry forward. I found the fact that asking others questions instead of suggestions kept everything focused for the group and by doing so enables the leader to evaluate their own work and then take away and reflect on it. It was good you were given information to work with at each session whether you used it or brought your own situation was both beneficial. Having others from different areas of ministry both clergy and lay,  was great, it brought with it a humility that was tangible in the group and I felt supported by all and able to speak freely without feeling intimidated even though we were on Zoom.   Overall a positive experience, and a good learning platform. ",All of it,Agree,No,Yes,"Yes, somewhat",By allowing myself  to listen more to what is going on practically. Observing  what could be the possible struggles giving space for others to speak.  How to challenge myself in how to approach leadership with others that allows effective working. ,Agree,,Strongly agree,"A very good resource, especially meeting others on Zoom from different parts of the country you would never otherwise meet, who als want to learn more of leadership. "
13586033541,414754221,11/10/2022 04:47:03 PM,11/10/2022 04:51:43 PM,,,,,,Analyse oneself but answer/ advice/ questions came from others.  ,Most of it,Agree,Yes,Not sure,Not really,,Agree,Better intro so that others understand outcomes from modules,Aagree,No
13585795777,414754221,11/10/2022 09:12:13 AM,11/10/2022 09:27:25 AM,,,,,,"Not everyone understood the idea of pursuing your own learning or approaching the subject in your own way. Some expected a talk with answers given!  For me, that was one of the strengths of the approach. With the Dig Deeper material I was able to listen to talks and lectures, which I find helpful, but reflect on aspects of the subject that were useful to me.",All of it,Agree,Yes,Yes,"Yes, somewhat",We looked at Healthy Leadership and it has made me appreciate the continual need to lead with an attitude of love. In leadership it is so easy to move away from that.,Agree,"It took some time to grasp how the course works because its approach was not familiar, e.g. no lecture or detailed questions to guide participants through the material. But once underway it did become clear!",Aagree,"Jayne was very helpful in her assessment and summary of each participant's presentation, as also in her questions and guidance of discussion where needed. Not everyone in the group was as familiar with the idea of asking questions and giving feedback, but overall the group worked very well."
13585199588,414754221,11/09/2022 11:25:25 AM,11/09/2022 11:30:20 AM,,,,,,I can see how the content related to the title and there appeared to be good depth of coverage (although i was unable to work through all of it).  I found the focus rather bias to full time workers rather than volunteers such as myself.,Some of it,Disgree,Yes,Not sure,Not really,,,,,
13585128936,414754221,11/09/2022 08:20:33 AM,11/09/2022 08:29:14 AM,,,,,,The relaxed format and the opportunity to express your thinking with no pressure on time ,All of it,Disgree,Yes,Yes,"Yes, somewhat","It helped me think about prioritising, and about the need to look after one self and have protected time ",Agree,,Strongly agree,It gave me something to take away and think about
13426243515,414754221,03/30/2022 10:26:31 AM,03/30/2022 10:32:10 AM,,,,,,The choosing of a learning goal that is tailored and beneficial to the ministry. Mine was managing and raising the performance of other team members,Most of it,Agree,Yes,Not sure,"Yes, a great deal","Set up regular 'formal' supervision with team member, keeping minutes and detailing action points and monitoring progress",Agree,,Aagree,
13381738030,414754235,03/08/2022 12:37:13 PM,03/08/2022 12:39:35 PM,,,,,,"Good to think about stakeholders, and be aware of different ways of communicating with them. Great to have some time out to do some reflecting on my leadership, and lovely to have input of others to help me do that.",Some of it,Agree,Yes,Not sure,"Yes, somewhat","More aware of how I relate to different stakeholders at different levels. In fact, a general increase in self-awareness in this area.",Agree,,Aagree,
